카테고리,메뉴명,검색어,이미지URL
메인,BELT샌드위치,BLT sandwich bacon lettuce tomato,https://images.pexels.com/photos/23106708/pexels-photo-23106708.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,불고기샌드위치,korean sandwich food,https://images.pexels.com/photos/6416558/pexels-photo-6416558.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,가쓰오데리야끼두부강정,korean teriyaki tofu korean sweet crispy glazed food,https://images.pexels.com/photos/5127322/pexels-photo-5127322.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,가쓰오두부강정,korean tofu korean sweet crispy glazed food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,가자미식혜,korean flatfish food,https://images.pexels.com/photos/15955380/pexels-photo-15955380.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,"가자미전(25cm이상,3마리)",korean flatfish korean savory pancake jeon food,https://images.pexels.com/photos/15955380/pexels-photo-15955380.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,가지강정,korean eggplant korean sweet crispy glazed food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,가지깐풍기,korean eggplant food,https://images.pexels.com/photos/772513/pexels-photo-772513.png?auto=compress&cs=tinysrgb&h=650&w=940
메인,가지탕수,korean eggplant sweet and sour korean soup food,https://images.pexels.com/photos/13085835/pexels-photo-13085835.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,가츠동(밥o.2인분),korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감바스,korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감바스(바게트o),korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감자달걀샐러드,korean salad egg potato food,https://images.pexels.com/photos/10839568/pexels-photo-10839568.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감자들깨탕,korean potato perilla seed korean soup food,https://images.pexels.com/photos/13085835/pexels-photo-13085835.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감자샐러드,korean salad potato food,https://images.pexels.com/photos/10497774/pexels-photo-10497774.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감자수제옹심이,korean potato food,https://images.pexels.com/photos/6485538/pexels-photo-6485538.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,감자전,korean potato korean savory pancake jeon food,https://images.pexels.com/photos/15955380/pexels-photo-15955380.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
